proba_threshold,full_marketing_profit,LogisticRegression_marketing_profit,LogisticRegression_precision,LogisticRegression_recall,LogisticRegression_f1,LogisticRegression_auc,RandomForestClassifier_marketing_profit,RandomForestClassifier_precision,RandomForestClassifier_recall,RandomForestClassifier_f1,RandomForestClassifier_auc,XGBClassifier_marketing_profit,XGBClassifier_precision,XGBClassifier_recall,XGBClassifier_f1,XGBClassifier_auc
0.5700000000000001,23840.0,173760.0,0.6158536585365854,0.7075306479859895,0.658516707416463,0.813483994069721,177600.0,0.6527331189710611,0.7110332749562172,0.680637049455155,0.8209897832581597,153360.0,0.65,0.6147110332749562,0.6318631863186319,0.7771445191950229
0.58,23840.0,171520.0,0.6199376947040498,0.6970227670753065,0.6562242374278647,0.8095088259928962,177600.0,0.6527331189710611,0.7110332749562172,0.680637049455155,0.8209897832581597,151680.0,0.651031894934334,0.6077057793345009,0.6286231884057971,0.774121431866739
0.59,23840.0,171360.0,0.6285714285714286,0.6935201401050788,0.659450457951707,0.8093559779809281,176080.0,0.6557911908646004,0.7040280210157618,0.6790540540540541,0.8182863890245049,150560.0,0.6539923954372624,0.6024518388791593,0.6271649954421149,0.7721338478283264
0.6,23840.0,168720.0,0.6335504885993485,0.681260945709282,0.6565400843881856,0.804664999708861,174960.0,0.6584158415841584,0.6987740805604203,0.6779949022939677,0.8162988049860925,150400.0,0.6583493282149712,0.6007005253940455,0.6282051282051281,0.7718975772750278
0.61,23840.0,167120.0,0.6353135313531353,0.6742556917688266,0.6542056074766355,0.8018017589278916,170800.0,0.6615646258503401,0.681260945709282,0.6712683347713545,0.8088210099390399,149280.0,0.6614785992217899,0.5954465849387041,0.6267281105990784,0.7699099932366155
0.62,23840.0,165120.0,0.6375838926174496,0.6654991243432574,0.651242502142245,0.7982227079516799,168400.0,0.6649305555555556,0.670753064798599,0.6678291194420226,0.8045261487675859,149040.0,0.6647058823529411,0.5936952714535902,0.6271970397779834,0.7695138761360023
0.63,23840.0,162720.0,0.6404109589041096,0.6549912434325744,0.6476190476190476,0.7939278467802259,166480.0,0.6690265486725664,0.6619964973730298,0.6654929577464788,0.8011069443386887,147760.0,0.6653465346534654,0.5884413309982487,0.6245353159851301,0.7672065990029607
0.64,23840.0,162240.0,0.6458333333333334,0.6514886164623468,0.6486486486486487,0.7931356125789994,162880.0,0.6678700361010831,0.647985989492119,0.6577777777777778,0.7945812300401772,147680.0,0.6713426853707415,0.5866900175131349,0.6261682242990654,0.7671301749969767
0.65,23840.0,160400.0,0.6444833625218914,0.6444833625218914,0.6444833625218914,0.7897928321560863,159520.0,0.6703703703703704,0.6339754816112084,0.6516651665166517,0.7885350553836094,146480.0,0.6734279918864098,0.5814360770577933,0.6240601503759398,0.7649827444112496
0.66,23840.0,158880.0,0.6476868327402135,0.637478108581436,0.6425419240953222,0.7870894379224316,158240.0,0.678030303030303,0.626970227670753,0.651501364877161,0.7863112007918982,144720.0,0.6735112936344969,0.574430823117338,0.6200378071833648,0.761799810535651
